,price_sold_sek,number_of_rooms,area_size,has_elevator,year_built,annual_fee_sek,annual_cost_sek,region_processed_bromma,region_processed_centrala sundbyberg,region_processed_gröndal,region_processed_hammarby sjöstad,region_processed_kungsholmen,region_processed_råsunda,region_processed_södermalm,region_processed_vasastan,region_processed_årsta,region_processed_östermalm,has_balcony_nej,has_balcony_unknown,cleaned_floor_number,brokerage_firm_processed_erik olsson fastighetsförmedling,brokerage_firm_processed_fastighetsbyrån stockholm - södermalm,brokerage_firm_processed_länsförsäkringar fastighetsförmedling solna,brokerage_firm_processed_notar,brokerage_firm_processed_tradition mäkleri
157,6000000,2.0,60.0,True,1967.0,882.0,7200.0,False,False,False,False,False,False,False,True,False,False,False,False,7.0,False,False,False,False,False
158,6050000,2.0,57.0,True,1887.0,2801.0,0.0,False,False,False,False,False,False,False,True,False,False,True,False,1.0,False,False,False,False,False
159,2550000,4.0,85.0,True,1958.0,5736.0,4688.0,False,False,False,False,False,False,False,False,False,False,False,False,5.0,False,False,False,False,False
160,1700000,1.0,27.0,True,1961.0,2254.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True,2.0,False,False,False,False,False
161,1550000,1.0,37.0,False,1970.0,2215.0,4668.0,False,False,False,False,False,False,False,False,False,False,False,False,2.879233104473908,False,False,False,False,False
162,4000000,3.0,79.0,True,2009.0,4541.0,14160.0,False,False,False,False,False,False,False,False,False,False,False,False,4.0,True,False,False,False,False
163,1350000,1.0,37.0,True,1962.0,2646.0,3000.0,False,False,False,False,False,False,False,False,False,False,True,False,2.0,False,False,False,False,False
164,2650000,2.0,58.0,True,1950.0,4304.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,True,False
165,8200000,3.0,70.0,True,1935.0,2334.0,10200.0,False,False,False,False,True,False,False,False,False,False,False,False,2.0,False,False,False,False,False
166,2260000,2.0,48.0,True,2016.0,3120.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,4.0,False,False,False,True,False
167,3995000,3.0,75.0,True,1942.0,4102.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
168,3420000,2.0,365.0,True,1931.0,1784.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False,2.0,False,False,False,False,True
169,1800000,1.0,29.0,True,1960.0,1635.0,4500.0,False,False,False,False,False,False,False,False,False,False,False,False,13.0,False,False,False,False,False
170,4350000,2.0,33.0,True,1927.0,1557.0,5400.0,False,False,False,False,False,False,False,False,False,True,True,False,3.0,False,False,False,False,False
171,1200000,2.0,61.0,True,1965.0,4150.0,4028.0,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
172,3100000,2.0,54.0,True,1957.0,2478.0,3326.0,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False
173,3950000,3.0,83.0,True,1969.0,4854.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,True,False,False
174,5350000,2.0,40.0,True,1885.0,2288.0,11229.0,False,False,False,False,False,False,False,False,False,True,False,False,1.0,False,False,False,False,False
175,3095000,3.0,56.0,True,2023.0,3536.0,300.0,False,False,False,False,False,False,False,False,False,False,False,False,11.0,False,False,False,False,False
176,4895000,4.0,84.0,True,2010.0,5322.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False
177,2590000,2.0,32.0,True,1940.0,2189.0,3600.0,False,False,False,False,False,True,False,False,False,False,False,False,5.0,False,False,True,False,False
178,10900000,5.0,110.0,True,2018.0,6314.0,11160.0,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
